date,hospital_id,ward_code,wait_per_triage,age,bed_impact_score,arrival_source_ambulance,arrival_source_referral,arrival_source_self,arrival_source_transfer,outcome_death,outcome_discharged,outcome_readmit_30d,outcome_transferred,sex_F,sex_M,base_beds,effective_capacity,admissions,staffing_index,discharge_rate_per_bed,occupancy_lag1,occupancy_lag7,overflow_lag1,overflow_lag7,discharges_lag1,discharges_lag7,admission_rate_per_bed_lag1,admission_rate_per_bed_lag7,avg_wait_minutes_lag1,avg_wait_minutes_lag7,occupancy_rate_lag1,occupancy_rate_lag7
2022-11-04,1,ED,77.22222222222223,49.5,0.0,1,2,8,1,0,12,0,0,7,5,30,34,50,1.008,1.1,34.0,34.0,31.0,26.0,34.0,17.0,2.033,1.7,248.0,219.0,1.0,1.0
2022-11-04,1,ICU,75.0,54.0,,2,1,5,0,0,8,0,0,3,5,20,23,12,0.995,0.45,23.0,21.0,9.0,1.0,6.0,7.0,0.6,0.65,276.0,47.0,1.0,0.913
2022-11-04,1,MED,75.0,57.375,,2,0,5,1,0,7,1,0,4,4,50,58,22,1.045,0.4,58.0,58.0,24.0,19.0,21.0,11.0,0.74,1.0,113.0,147.0,1.0,1.0
2022-11-04,1,SURG,75.0,62.75,,1,1,6,0,0,7,1,0,5,3,40,46,24,1.013,0.575,46.0,33.0,12.0,0.0,20.0,11.0,0.65,0.375,170.0,33.0,1.0,0.825
2022-11-04,2,ED,101.72500000000001,63.583333333333336,0.0,2,3,7,0,0,12,0,0,4,8,30,34,63,1.043,1.1,34.0,34.0,23.0,44.0,31.0,19.0,1.667,2.367,229.0,313.0,1.0,1.0
2022-11-04,2,ICU,75.0,55.75,,1,0,7,0,1,7,0,0,3,5,20,23,11,0.978,0.2,23.0,14.0,3.0,0.0,6.0,4.0,0.3,0.35,119.0,14.0,1.0,0.7
2022-11-04,2,MED,75.0,56.5,,2,0,6,0,0,7,1,0,2,6,50,58,29,0.963,0.44,58.0,58.0,26.0,19.0,19.0,12.0,0.74,0.88,204.0,190.0,1.0,1.0
2022-11-04,2,SURG,75.0,48.0,,4,2,2,0,0,8,0,0,2,6,40,46,22,0.991,0.25,41.0,44.0,1.0,4.0,14.0,7.0,0.225,0.775,46.0,180.0,0.891,0.957
2022-11-04,3,ED,64.97361111111111,56.0,0.0,1,6,5,0,0,12,0,0,5,7,30,34,47,0.979,1.033,34.0,34.0,38.0,16.0,32.0,17.0,2.2,1.467,286.0,129.0,1.0,1.0
2022-11-04,3,ICU,75.0,57.5,,3,1,4,0,0,8,0,0,4,4,20,23,8,1.035,0.25,23.0,21.0,4.0,1.0,6.0,4.0,0.35,0.55,106.0,167.0,1.0,0.913
